epoch,step,test/reward,train/loss,train/reward,val/reward
548,4391,,,,-110.23699951171875
549,4399,,-3.064918279647827,-111.73558044433594,
549,4399,,,,-110.2300033569336
550,4407,,,,-110.22799682617188
551,4415,,,,-110.26000213623047
552,4423,,,,-110.18699645996094
553,4431,,,,-110.60399627685547
554,4439,,,,-110.27300262451172
555,4447,,,,-109.88500213623047
556,4449,,-14.096031188964844,-110.4296875,
556,4455,,,,-109.99600219726562
557,4463,,,,-110.09400177001953
558,4471,,,,-110.14199829101562
559,4479,,,,-110.21299743652344
560,4487,,,,-110.3550033569336
561,4495,,,,-110.01399993896484
562,4499,,-20.11245346069336,-111.4453125,
562,4503,,,,-110.24600219726562
563,4511,,,,-110.27400207519531
564,4519,,,,-110.18399810791016
565,4527,,,,-110.38200378417969
566,4535,,,,-110.33100128173828
567,4543,,,,-110.08499908447266
568,4549,,2.0520973205566406,-110.78125,
568,4551,,,,-110.13300323486328
569,4559,,,,-110.06199645996094
570,4567,,,,-110.12799835205078
571,4575,,,,-109.8270034790039
572,4583,,,,-110.26699829101562
573,4591,,,,-110.33599853515625
574,4599,,-31.967761993408203,-109.39904022216797,
574,4599,,,,-110.23899841308594
575,4607,,,,-110.04199981689453
576,4615,,,,-110.34100341796875
577,4623,,,,-110.08399963378906
578,4631,,,,-110.3489990234375
579,4639,,,,-110.12200164794922
580,4647,,,,-110.15299987792969
581,4649,,-30.990142822265625,-110.62890625,
581,4655,,,,-109.75599670410156
582,4663,,,,-110.07499694824219
583,4671,,,,-110.08899688720703
584,4679,,,,-110.31199645996094
585,4687,,,,-109.85199737548828
586,4695,,,,-109.8489990234375
587,4699,,-9.18996810913086,-110.7265625,
587,4703,,,,-110.01100158691406
588,4711,,,,-109.99600219726562
589,4719,,,,-110.42400360107422
590,4727,,,,-110.19499969482422
591,4735,,,,-110.21399688720703
592,4743,,,,-110.36499786376953
593,4749,,10.682347297668457,-111.18359375,
593,4751,,,,-110.20999908447266
594,4759,,,,-110.33799743652344
595,4767,,,,-110.24099731445312
596,4775,,,,-110.177001953125
597,4783,,,,-110.16799926757812
598,4791,,,,-110.26599884033203
599,4799,,-33.41225051879883,-111.86538696289062,
599,4799,,,,-110.26300048828125
600,4807,,,,-110.28500366210938
601,4815,,,,-110.10600280761719
602,4823,,,,-110.21800231933594
603,4831,,,,-110.22599792480469
604,4839,,,,-110.04499816894531
605,4847,,,,-109.93299865722656
606,4849,,-29.106586456298828,-111.1015625,
606,4855,,,,-110.12999725341797
607,4863,,,,-110.22000122070312
608,4871,,,,-110.19999694824219
609,4879,,,,-110.06900024414062
610,4887,,,,-110.35099792480469
611,4895,,,,-110.70099639892578
612,4899,,-54.141151428222656,-111.203125,
612,4903,,,,-110.69599914550781
613,4911,,,,-110.35199737548828
614,4919,,,,-110.19300079345703
615,4927,,,,-110.09500122070312
616,4935,,,,-109.8550033569336
617,4943,,,,-110.11000061035156
618,4949,,-49.516727447509766,-111.46484375,
618,4951,,,,-110.29900360107422
619,4959,,,,-110.35199737548828
620,4967,,,,-110.26499938964844
621,4975,,,,-110.5739974975586
622,4983,,,,-110.11199951171875
623,4991,,,,-110.06600189208984
624,4999,,-31.005823135375977,-111.28846740722656,
624,4999,,,,-110.08999633789062
625,5007,,,,-110.06700134277344
626,5015,,,,-110.31600189208984
627,5023,,,,-110.1729965209961
628,5031,,,,-110.19599914550781
629,5039,,,,-110.06500244140625
630,5047,,,,-110.33799743652344
631,5049,,-24.835803985595703,-110.73828125,
631,5055,,,,-110.05500030517578
632,5063,,,,-110.1969985961914
633,5071,,,,-110.15599822998047
634,5079,,,,-110.20500183105469
635,5087,,,,-110.38700103759766
636,5095,,,,-110.2969970703125
637,5099,,-15.026754379272461,-111.09765625,
637,5103,,,,-110.18299865722656
638,5111,,,,-110.16999816894531
639,5119,,,,-110.22799682617188
640,5127,,,,-110.04100036621094
641,5135,,,,-109.97000122070312
642,5143,,,,-110.2750015258789
643,5149,,-83.50146484375,-111.86328125,
643,5151,,,,-110.2300033569336
644,5159,,,,-110.50399780273438
645,5167,,,,-110.19000244140625
646,5175,,,,-110.11699676513672
647,5183,,,,-110.1729965209961
648,5191,,,,-110.28099822998047
649,5199,,0.5070574879646301,-111.59134674072266,
649,5199,,,,-110.177001953125
650,5207,,,,-110.28800201416016
651,5215,,,,-110.2300033569336
652,5223,,,,-110.13899993896484
653,5231,,,,-110.07599639892578
654,5239,,,,-110.18599700927734
655,5247,,,,-110.31400299072266
656,5249,,-49.903404235839844,-110.83203125,
656,5255,,,,-110.10800170898438
657,5263,,,,-110.34700012207031
658,5271,,,,-110.0199966430664
659,5279,,,,-110.1259994506836
660,5287,,,,-110.21299743652344
661,5295,,,,-110.17500305175781
662,5299,,-0.8212740421295166,-111.30859375,
662,5303,,,,-109.94000244140625
663,5311,,,,-110.13200378417969
664,5319,,,,-110.22599792480469
665,5327,,,,-110.2030029296875
666,5335,,,,-110.43199920654297
667,5343,,,,-110.2239990234375
668,5349,,-29.80856704711914,-112.41015625,
668,5351,,,,-110.48300170898438
669,5359,,,,-110.5530014038086
670,5367,,,,-110.1729965209961
671,5375,,,,-110.552001953125
672,5383,,,,-110.39700317382812
673,5391,,,,-110.44999694824219
674,5399,,-19.570642471313477,-110.37981414794922,
674,5399,,,,-110.2979965209961
675,5407,,,,-110.50900268554688
676,5415,,,,-110.35800170898438
